STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/1/90,0.3,0,0,,46,32,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/2/90,0.01,0,0,,44,33,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/3/90,0.1,0,0,,46,42,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/4/90,0.01,0,0,,51,45,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/5/90,0.55,0,0,,54,45,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/6/90,1.06,0,0,,52,46,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/7/90,0.42,0,0,,53,44,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/8/90,0.38,0,0,,49,43,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/9/90,2.32,0,0,,55,41,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/10/90,0,0,0,,44,37,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/11/90,0.01,0,0,,49,37,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/12/90,0,0,0,,51,37,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/13/90,0.13,0,0,,48,44,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/14/90,0.01,0,0,,47,45,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/15/90,0.1,0,0,,47,44,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/16/90,0.01,0,0,,46,41,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/17/90,0,0,0,,48,35,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/18/90,0,0,0,,46,29,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/19/90,0,0,0,,48,29,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/20/90,0,0,0,,48,34,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/21/90,0.07,0,0,,46,36,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/22/90,0.15,0,0,,47,38,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/23/90,0,0,0,,48,35,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/24/90,0,0,0,,46,41,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/25/90,0.14,0,0,,46,37,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/26/90,0.01,0,0,,41,35,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/27/90,0.24,0,0,,50,38,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/28/90,0.36,0,0,,48,40,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/29/90,0.29,0,0,,45,32,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/30/90,0.26,0,0,,45,34,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/31/90,0.64,0,0,,45,33,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/1/90,0.03,0,0,,45,39,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/2/90,0.05,0,0,,49,42,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/3/90,0.52,0,0,,49,38,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/4/90,0.12,0,0,,45,37,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/5/90,0.47,0,0,,45,36,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/6/90,0.06,0,0,,41,34,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/7/90,0.13,0,0,,39,33,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/8/90,0.2,0,0,,44,36,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/9/90,0.03,0,0,,51,44,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/10/90,0.05,0,0,,55,49,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/11/90,0.48,0,0,,51,34,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/12/90,0.04,0,0,,39,29,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/13/90,0,0,0,,36,26,
